model;vendor;price;quantity
Xiaomi Mi 10/Pro; Xiaomi;366;6
LG Stylo 6; LG Electronics;397;7
Xiaomi Mi A3; Xiaomi;253;3
OnePlus 7T Pro; OnePlus;329;3
Pixel 5; Google;408;3
Oppo Find; Oppo;334;7
HTC Explorer; HTC;396;7
Samsung Galaxy Xcover 3; Samsung Electronics;473;4
Samsung Galaxy S6/Edge; Samsung Electronics;274;5
HTC Rezound; HTC;209;2
OnePlus 7T; OnePlus;341;1
Samsung Galaxy S7/Edge; Samsung Electronics;373;4
BlackBerry Motion; BlackBerry Mobile;383;3
Samsung Galaxy A5 Duos; Samsung Electronics;200;1
HTC One V; HTC;240;3
ZTE Blade G/Lux; ZTE;400;8
Moto X Style; Motorola Mobility;232;6
HTC Sensation XL; HTC;309;4
Pixel 4/XL; Google;410;5
Moto E (2nd generation); Motorola Mobility;358;3
Moto E (2nd generation); Motorola Mobility;358;9
Samsung Galaxy A5 Duos; Samsung Electronics;200;2
Xiaomi Black Shark 2; Xiaomi;258;1
HTC Desire C; HTC;199;4
HTC Evo 3D; HTC;248;5
BlackBerry Key2; BlackBerry Mobile;247;4
Pixel 3a/XL; Google;365;5
ZTE Blade G2; ZTE;243;3
Pixel 4a (5G); Google;469;3
Moto X Play; Motorola Mobility;437;3
LG Q61; LG Electronics;326;9
ZTE Blade C V807; ZTE;229;2
BlackBerry Aurora; BlackBerry Mobile;429;9
HTC One X/XL; HTC;352;1
LG Stylo 6; LG Electronics;397;8
OnePlus 9 Pro; OnePlus;483;3
Moto X Play; Motorola Mobility;437;9
Samsung Galaxy A3/Duos; Samsung Electronics;407;2
OnePlus 8T; OnePlus;328;8
OnePlus 7T; OnePlus;341;6
LG Velvet; LG Electronics;496;7
Moto X (2nd generation); Motorola Mobility;286;3
Xiaomi Mi Note 10/Pro; Xiaomi;234;4
HTC One V; HTC;240;2
HTC One V; HTC;240;7
Samsung Galaxy Note Edge; Samsung Electronics;264;7
ZTE Blade G V880G; ZTE;274;3
Samsung Galaxy A7/Duos; Samsung Electronics;426;6
ZTE Blade III Pro; ZTE;234;7
ZTE Blade V; ZTE;360;8
BlackBerry Motion; BlackBerry Mobile;383;9
Moto E3; Motorola Mobility;341;8
Moto X Style; Motorola Mobility;232;2
LG K31; LG Electronics;270;5
HTC Desire VC; HTC;360;6
Pixel 2/XL; Google;347;5
Moto X (2nd generation); Motorola Mobility;286;6
HTC One S C2; HTC;462;2
HTC Desire C; HTC;199;4
HTC Evo 4G LTE; HTC;477;9
Pixel 2/XL; Google;347;5
HTC One V; HTC;240;8
LG K22; LG Electronics;315;7
LG Q92 5G; LG Electronics;216;8
ZTE Blade C V807; ZTE;229;7
HTC One V; HTC;240;1
Oppo Find; Oppo;334;4
OnePlus Nord; OnePlus;425;5
Moto G (3rd generation); Motorola Mobility;206;4
LG K22; LG Electronics;315;4
Xiaomi Black Shark 2 Pro; Xiaomi;346;7
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;1
HTC Sensation XL; HTC;309;5
Xiaomi Mi 9T; Xiaomi;388;7
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
Samsung Galaxy A5 Duos; Samsung Electronics;200;4
Pixel 3a/XL; Google;365;9
Oppo Find; Oppo;334;6
Samsung Galaxy A5 Duos; Samsung Electronics;200;7
BlackBerry Key2; BlackBerry Mobile;247;7
Samsung Galaxy Xcover 3; Samsung Electronics;473;4
HTC Evo 4G LTE; HTC;477;9
OnePlus 8T; OnePlus;328;3
OnePlus 9 Pro; OnePlus;483;3
Moto X Style; Motorola Mobility;232;8
BlackBerry KeyOne; BlackBerry Mobile;346;3
ZTE Blade III Pro; ZTE;234;2
HTC Evo 3D; HTC;248;9
HTC Evo Design 4G; HTC;491;5
OnePlus 9 Pro; OnePlus;483;3
ZTE Blade Vec 3G/4G; ZTE;447;1
Moto E (2nd generation); Motorola Mobility;358;4
Samsung Galaxy Xcover 3; Samsung Electronics;473;8
OnePlus 8T; OnePlus;328;8
ZTE Blade S6; ZTE;219;9
ZTE Blade G/Lux; ZTE;400;6
BlackBerry Motion; BlackBerry Mobile;383;8
Pixel 3a/XL; Google;365;5
HTC Salsa; HTC;257;5
Samsung Galaxy Note Edge; Samsung Electronics;264;1
LG Q61; LG Electronics;326;5
ZTE Blade G2; ZTE;243;1
Xiaomi Mi Note 10/Pro; Xiaomi;234;5
ZTE Blade L2; ZTE;244;1
BlackBerry KeyOne; BlackBerry Mobile;346;4
HTC Rhyme; HTC;201;1
Moto G (3rd generation); Motorola Mobility;206;3
Xiaomi Mi 9/SE; Xiaomi;471;5
HTC One X/XL; HTC;352;3
HTC Evo 4G LTE; HTC;477;3
HTC Desire VC; HTC;360;6
HTC One X/XL; HTC;352;9
Samsung Galaxy A5; Samsung Electronics;428;4
Xiaomi Black Shark 2 Pro; Xiaomi;346;6
Xiaomi Mi 10/Pro; Xiaomi;366;4
ZTE Blade S6; ZTE;219;4
OnePlus 8; OnePlus;283;8
Xiaomi Mi 9 Lite; Xiaomi;417;8
HTC Evo 4G LTE; HTC;477;9
ZTE Blade G V880G; ZTE;274;2
Moto X (2nd generation); Motorola Mobility;286;1
OnePlus 8; OnePlus;283;1
Pixel 3a/XL; Google;365;1
HTC Desire C; HTC;199;9
Pixel 4a (5G); Google;469;6
Pixel 4/XL; Google;410;8
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;7
LG K22; LG Electronics;315;6
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;3
HTC Droid Incredible 4G LTE; HTC;290;2
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
Pixel 5; Google;408;8
HTC Sensation XL; HTC;309;1
HTC Desire C; HTC;199;2
OnePlus 7T Pro; OnePlus;329;7
Moto G4; Motorola Mobility;339;3
HTC Desire C; HTC;199;3
LG Stylo 6; LG Electronics;397;5
BlackBerry KeyOne; BlackBerry Mobile;346;5
HTC Droid Incredible 4G LTE; HTC;290;1
Xiaomi Black Shark 2; Xiaomi;258;6
Samsung Galaxy A7/Duos; Samsung Electronics;426;4
Motorola Droid Turbo; Motorola Mobility;444;7
Samsung Galaxy S6 Edge+; Samsung Electronics;434;1
Samsung Galaxy A7/Duos; Samsung Electronics;426;7
HTC One V; HTC;240;9
ZTE Director; ZTE;432;2
OnePlus 8 Pro; OnePlus;390;4
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
Moto E (1st generation); Motorola Mobility;353;4
HTC Desire VC; HTC;360;5
HTC One S; HTC;317;4
Xiaomi Black Shark 2 Pro; Xiaomi;346;7
OnePlus 8; OnePlus;283;2
HTC Desire C; HTC;199;4
ZTE Blade L2; ZTE;244;6
ZTE Blade C V807; ZTE;229;6
HTC Raider 4G; HTC;286;8
ZTE Blade G/Lux; ZTE;400;8
HTC Desire C; HTC;199;5
ZTE Blade G2; ZTE;243;7
Xiaomi Mi 9/SE; Xiaomi;471;8
BlackBerry Motion; BlackBerry Mobile;383;1
OnePlus Nord; OnePlus;425;3
Pixel 3a/XL; Google;365;9
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;3
Pixel 3/XL; Google;272;3
LG Q92 5G; LG Electronics;216;7
HTC Desire V; HTC;359;4
Moto E3; Motorola Mobility;341;2
Samsung Galaxy A9 (2016); Samsung Electronics;300;9
Samsung Galaxy S7/Edge; Samsung Electronics;373;9
Samsung Galaxy S6 Edge+; Samsung Electronics;434;2
Pixel 5; Google;408;6
HTC Evo 3D; HTC;248;5
Xiaomi Mi 10/Pro; Xiaomi;366;8
LG Q92 5G; LG Electronics;216;9
Oppo Find; Oppo;334;2
OnePlus Nord N10 5G; OnePlus;414;4
ZTE Blade G V880G; ZTE;274;6
HTC Rhyme; HTC;201;2
Samsung Galaxy A9 (2016); Samsung Electronics;300;9
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;6
LG Q92 5G; LG Electronics;216;9
Xiaomi Mi 9T; Xiaomi;388;6
HTC Desire V; HTC;359;2
Xiaomi Mi 9T; Xiaomi;388;3
LG K42/K71; LG Electronics;416;6
ZTE Blade V; ZTE;360;3
Samsung Galaxy S6 Edge+; Samsung Electronics;434;5
Xiaomi Black Shark 2; Xiaomi;258;7
ZTE Director; ZTE;432;8
Samsung Galaxy A9 (2016); Samsung Electronics;300;4
Moto E (1st generation); Motorola Mobility;353;8
ZTE Blade G/Lux; ZTE;400;8
HTC One S C2; HTC;462;4
Xiaomi Mi 9T; Xiaomi;388;8
HTC Raider 4G; HTC;286;8
HTC Rhyme; HTC;201;2
OnePlus 9 Pro; OnePlus;483;5
ZTE Blade G/Lux; ZTE;400;2
Moto X (2nd generation); Motorola Mobility;286;6
Pixel 4a; Google;289;8
HTC Rhyme; HTC;201;8
OnePlus 8T; OnePlus;328;7
LG K22; LG Electronics;315;2
ZTE Blade C V807; ZTE;229;8
HTC Rezound; HTC;209;4
HTC Amaze 4G; HTC;227;5
HTC Evo Design 4G; HTC;491;3
Moto E (2nd generation); Motorola Mobility;358;1
Moto X Style; Motorola Mobility;232;8
Moto G (2nd generation); Motorola Mobility;206;2
Moto X Style; Motorola Mobility;232;9
Samsung Galaxy Note Edge; Samsung Electronics;264;1
OnePlus 9; OnePlus;386;5
Xiaomi Mi 9T Pro; Xiaomi;430;6
Pixel 4a; Google;289;7
BlackBerry Motion; BlackBerry Mobile;383;5
OnePlus 8 Pro; OnePlus;390;4
HTC Desire C; HTC;199;3
LG Q92 5G; LG Electronics;216;9
Samsung Galaxy A9 (2016); Samsung Electronics;300;4
Pixel 5; Google;408;7
HTC Raider 4G; HTC;286;2
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;1
OnePlus Nord; OnePlus;425;4
Moto E (2nd generation); Motorola Mobility;358;2
Moto X Style; Motorola Mobility;232;1
Oppo Find; Oppo;334;4
Moto E3; Motorola Mobility;341;5
LG Q61; LG Electronics;326;3
Samsung Galaxy A8/Duos; Samsung Electronics;402;5
Oppo Find; Oppo;334;8
OnePlus 8; OnePlus;283;5
ZTE Blade G2; ZTE;243;5
BlackBerry Key2; BlackBerry Mobile;247;6
OnePlus 7T Pro; OnePlus;329;4
BlackBerry Aurora; BlackBerry Mobile;429;8
HTC Evo 3D; HTC;248;9
ZTE Blade C V807; ZTE;229;6
HTC Amaze 4G; HTC;227;4
LG Q61; LG Electronics;326;8
Samsung Galaxy A3/Duos; Samsung Electronics;407;8
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;8
Motorola Droid Turbo; Motorola Mobility;444;4
HTC Rezound; HTC;209;9
BlackBerry KeyOne; BlackBerry Mobile;346;4
Samsung Galaxy A9 (2016); Samsung Electronics;300;6
HTC One X/XL; HTC;352;8
Samsung Galaxy A5; Samsung Electronics;428;2
Moto G (3rd generation); Motorola Mobility;206;2
Oppo Find; Oppo;334;8
HTC Salsa; HTC;257;3
HTC Sensation XL; HTC;309;3
HTC Droid Incredible 4G LTE; HTC;290;2
Xiaomi Mi 9 Lite; Xiaomi;417;4
Samsung Galaxy S6 Edge+; Samsung Electronics;434;2
Samsung Galaxy A5; Samsung Electronics;428;1
HTC Rhyme; HTC;201;6
ZTE Blade G V880G; ZTE;274;1
Xiaomi Black Shark 2 Pro; Xiaomi;346;7
Pixel 3a/XL; Google;365;9
HTC One S C2; HTC;462;7
OnePlus 9 Pro; OnePlus;483;6
ZTE Blade S6; ZTE;219;4
OnePlus 8 Pro; OnePlus;390;5
LG Q92 5G; LG Electronics;216;7
Xiaomi Mi 10/Pro; Xiaomi;366;1
HTC Droid Incredible 4G LTE; HTC;290;8
HTC Rezound; HTC;209;2
ZTE Blade L2; ZTE;244;5
ZTE Blade S6; ZTE;219;1
HTC Rezound; HTC;209;9
Samsung Galaxy S7/Edge; Samsung Electronics;373;5
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;8
Xiaomi Mi 9/SE; Xiaomi;471;1
Samsung Galaxy Note 5; Samsung Electronics;254;7
HTC Rezound; HTC;209;8
Moto X Play; Motorola Mobility;437;7
OnePlus Nord N10 5G; OnePlus;414;6
Moto G (3rd generation); Motorola Mobility;206;9
Pixel 2/XL; Google;347;2
HTC Salsa; HTC;257;6
Oppo Find; Oppo;334;2
HTC Evo Design 4G; HTC;491;6
Moto E (2nd generation); Motorola Mobility;358;6
LG Velvet; LG Electronics;496;7
Pixel 2/XL; Google;347;9
Xiaomi Mi 10/Pro; Xiaomi;366;2
LG K31; LG Electronics;270;1
Moto X Play; Motorola Mobility;437;1
Oppo Find; Oppo;334;9
ZTE Blade G V880G; ZTE;274;5
LG K22; LG Electronics;315;4
Xiaomi Mi 9T Pro; Xiaomi;430;6
HTC Evo Design 4G; HTC;491;2
Xiaomi Mi 9/SE; Xiaomi;471;8
HTC Rezound; HTC;209;4
LG Stylo 6; LG Electronics;397;5
LG Q92 5G; LG Electronics;216;4
Pixel 3a/XL; Google;365;4
Xiaomi Mi 9T Pro; Xiaomi;430;7
LG Velvet; LG Electronics;496;8
HTC One S C2; HTC;462;5
Moto E3; Motorola Mobility;341;5
ZTE Blade G V880G; ZTE;274;2
OnePlus 8; OnePlus;283;2
HTC One S; HTC;317;6
Xiaomi Black Shark 2; Xiaomi;258;4
Xiaomi Mi 9T; Xiaomi;388;1
ZTE Blade V; ZTE;360;6
HTC Droid Incredible 4G LTE; HTC;290;8
Samsung Galaxy S7/Edge; Samsung Electronics;373;7
HTC Desire C; HTC;199;8
ZTE Blade III Pro; ZTE;234;1
Xiaomi Black Shark 2; Xiaomi;258;1
LG Q61; LG Electronics;326;8
ZTE Blade S6; ZTE;219;5
Samsung Galaxy A3/Duos; Samsung Electronics;407;6
HTC Desire C; HTC;199;6
ZTE Blade G2; ZTE;243;2
Pixel 3/XL; Google;272;8
OnePlus 9; OnePlus;386;2
ZTE Blade Q/Maxi/Mini; ZTE;374;5
Moto X Play; Motorola Mobility;437;3
HTC Evo 3D; HTC;248;9
HTC One S C2; HTC;462;3
OnePlus Nord; OnePlus;425;5
OnePlus 8 Pro; OnePlus;390;2
ZTE Blade L2; ZTE;244;8
Samsung Galaxy S6/Edge; Samsung Electronics;274;4
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;8
HTC Rhyme; HTC;201;5
Samsung Galaxy A3/Duos; Samsung Electronics;407;7
Moto G (2nd generation); Motorola Mobility;206;1
HTC Raider 4G; HTC;286;8
HTC Droid Incredible 4G LTE; HTC;290;4
HTC Evo 4G LTE; HTC;477;4
Samsung Galaxy S6/Edge; Samsung Electronics;274;3
LG Velvet; LG Electronics;496;2
Pixel 4a (5G); Google;469;4
BlackBerry Motion; BlackBerry Mobile;383;4
HTC Raider 4G; HTC;286;3
Moto G (3rd generation); Motorola Mobility;206;2
HTC Droid Incredible 4G LTE; HTC;290;2
Xiaomi Mi 9/SE; Xiaomi;471;1
ZTE Blade V; ZTE;360;4
Samsung Galaxy A5 Duos; Samsung Electronics;200;4
ZTE Blade L2; ZTE;244;9
ZTE Blade V; ZTE;360;1
Xiaomi Mi 10/Pro; Xiaomi;366;8
Xiaomi Mi 9T Pro; Xiaomi;430;1
ZTE Blade V; ZTE;360;3
LG Stylo 6; LG Electronics;397;7
Samsung Galaxy A7/Duos; Samsung Electronics;426;6
HTC One V; HTC;240;1
LG K22; LG Electronics;315;6
Motorola Droid Turbo; Motorola Mobility;444;5
ZTE Blade G2; ZTE;243;1
HTC One S; HTC;317;2
HTC One X/XL; HTC;352;8
Pixel 2/XL; Google;347;5
HTC Sensation XE; HTC;481;3
HTC One S C2; HTC;462;8
OnePlus Nord N100; OnePlus;397;6
ZTE Blade G/Lux; ZTE;400;4
Samsung Galaxy Xcover 3; Samsung Electronics;473;9
Samsung Galaxy A9 (2016); Samsung Electronics;300;3
LG K31; LG Electronics;270;4
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;2
ZTE Blade G V880G; ZTE;274;9
HTC Desire VC; HTC;360;8
Samsung Galaxy S7/Edge; Samsung Electronics;373;9
Samsung Galaxy Note Edge; Samsung Electronics;264;3
Samsung Galaxy S6 Edge+; Samsung Electronics;434;3
LG Q61; LG Electronics;326;4
ZTE Blade Q/Maxi/Mini; ZTE;374;3
LG K31; LG Electronics;270;4
Moto X (2nd generation); Motorola Mobility;286;9
Samsung Galaxy A8/Duos; Samsung Electronics;402;8
HTC Sensation XE; HTC;481;6
Xiaomi Mi 9/SE; Xiaomi;471;8
BlackBerry Aurora; BlackBerry Mobile;429;5
Moto E (1st generation); Motorola Mobility;353;4
Samsung Galaxy Note Edge; Samsung Electronics;264;4
Moto G (2nd generation); Motorola Mobility;206;6
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;5
Moto G (2nd generation); Motorola Mobility;206;5
HTC Salsa; HTC;257;7
ZTE Blade V; ZTE;360;6
Xiaomi Mi MIX 3 5G; Xiaomi;396;8
OnePlus 8; OnePlus;283;7
HTC Evo 3D; HTC;248;2
Pixel 4/XL; Google;410;3
Xiaomi Mi 9 Lite; Xiaomi;417;3
Moto E (2nd generation); Motorola Mobility;358;2
Samsung Galaxy Note 5; Samsung Electronics;254;1
OnePlus 8; OnePlus;283;3
HTC Sensation XE; HTC;481;2
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;6
Xiaomi Mi MIX 3 5G; Xiaomi;396;3
Xiaomi Mi Note 10/Pro; Xiaomi;234;7
OnePlus 7T; OnePlus;341;5
HTC One S C2; HTC;462;3
HTC One S; HTC;317;6
HTC Sensation XL; HTC;309;5
HTC Salsa; HTC;257;3
Xiaomi Black Shark 2; Xiaomi;258;6
HTC Sensation XE; HTC;481;1
Samsung Galaxy A7/Duos; Samsung Electronics;426;5
Pixel 3/XL; Google;272;4
Xiaomi Mi Note 10/Pro; Xiaomi;234;7
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;6
Samsung Galaxy A8/Duos; Samsung Electronics;402;5
Samsung Galaxy S6/Edge; Samsung Electronics;274;2
HTC Salsa; HTC;257;1
OnePlus 9 Pro; OnePlus;483;9
OnePlus Nord N100; OnePlus;397;4
Samsung Galaxy Xcover 3; Samsung Electronics;473;5
HTC Amaze 4G; HTC;227;2
BlackBerry Key2; BlackBerry Mobile;247;2
OnePlus 8 Pro; OnePlus;390;9
Moto G (2nd generation); Motorola Mobility;206;9
ZTE Blade G V880G; ZTE;274;5
Samsung Galaxy A5; Samsung Electronics;428;1
LG Q61; LG Electronics;326;1
BlackBerry Motion; BlackBerry Mobile;383;9
ZTE Blade G2; ZTE;243;8
Samsung Galaxy A5 Duos; Samsung Electronics;200;2
HTC Rezound; HTC;209;7
Xiaomi Mi A3; Xiaomi;253;8
HTC Salsa; HTC;257;3
HTC One S C2; HTC;462;6
ZTE Blade V; ZTE;360;1
Samsung Galaxy A7/Duos; Samsung Electronics;426;8
HTC One S C2; HTC;462;2
HTC Rezound; HTC;209;5
HTC Salsa; HTC;257;4
Moto E (2nd generation); Motorola Mobility;358;2
Moto E (1st generation); Motorola Mobility;353;8
Moto G4; Motorola Mobility;339;7
Samsung Galaxy A8/Duos; Samsung Electronics;402;6
ZTE Blade G V880G; ZTE;274;5
Samsung Galaxy S6/Edge; Samsung Electronics;274;8
ZTE Blade Vec 3G/4G; ZTE;447;2
Samsung Galaxy A7/Duos; Samsung Electronics;426;4
OnePlus 9; OnePlus;386;9
Moto E3; Motorola Mobility;341;6
Pixel 3a/XL; Google;365;8
LG Stylo 6; LG Electronics;397;1
OnePlus Nord; OnePlus;425;1
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;3
HTC Explorer; HTC;396;8
Samsung Galaxy Note 5; Samsung Electronics;254;6
HTC Desire C; HTC;199;9
OnePlus 7T Pro; OnePlus;329;4
HTC Sensation XE; HTC;481;7
HTC Salsa; HTC;257;6
Pixel 5; Google;408;9
ZTE Blade V; ZTE;360;4
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;9
OnePlus 9 Pro; OnePlus;483;3
Moto E (2nd generation); Motorola Mobility;358;3
ZTE Blade G2; ZTE;243;5
Samsung Galaxy S7/Edge; Samsung Electronics;373;8
ZTE Director; ZTE;432;8
Xiaomi Mi A3; Xiaomi;253;7
OnePlus 9 Pro; OnePlus;483;7
Moto G (2nd generation); Motorola Mobility;206;9
Pixel 4a; Google;289;6
OnePlus 7T Pro; OnePlus;329;9
ZTE Blade V; ZTE;360;9
LG K31; LG Electronics;270;1
Pixel 4a (5G); Google;469;6
Moto G (2nd generation); Motorola Mobility;206;7
Samsung Galaxy A5; Samsung Electronics;428;2
LG Stylo 6; LG Electronics;397;4
Xiaomi Mi 9 Lite; Xiaomi;417;1
Samsung Galaxy S6 Edge+; Samsung Electronics;434;2
BlackBerry Aurora; BlackBerry Mobile;429;3
Moto X Style; Motorola Mobility;232;2
Moto E3; Motorola Mobility;341;2
HTC Desire V; HTC;359;3
LG Stylo 6; LG Electronics;397;4
Xiaomi Mi 9T; Xiaomi;388;8
ZTE Blade Vec 3G/4G; ZTE;447;5
Xiaomi Mi 9T Pro; Xiaomi;430;7
Moto E (1st generation); Motorola Mobility;353;3
Pixel 2/XL; Google;347;4
Pixel 4a; Google;289;2
Xiaomi Mi MIX 3 5G; Xiaomi;396;2
ZTE Blade V; ZTE;360;5
OnePlus 7T Pro; OnePlus;329;4
Moto E3; Motorola Mobility;341;1
HTC Sensation XE; HTC;481;9
OnePlus 8; OnePlus;283;8
Xiaomi Mi 9 Lite; Xiaomi;417;5
Samsung Galaxy A7/Duos; Samsung Electronics;426;5
OnePlus 8T; OnePlus;328;9
BlackBerry KeyOne; BlackBerry Mobile;346;1
Moto G (2nd generation); Motorola Mobility;206;3
Xiaomi Mi 9/SE; Xiaomi;471;2
OnePlus 8; OnePlus;283;8
Samsung Galaxy S6/Edge; Samsung Electronics;274;6
Xiaomi Mi 9T Pro; Xiaomi;430;8
HTC Desire C; HTC;199;3
BlackBerry KeyOne; BlackBerry Mobile;346;5
HTC One S C2; HTC;462;5
OnePlus 7T Pro; OnePlus;329;9
HTC Desire V; HTC;359;1
HTC Amaze 4G; HTC;227;8
Moto G (2nd generation); Motorola Mobility;206;5
Xiaomi Black Shark 2 Pro; Xiaomi;346;4
Moto X Style; Motorola Mobility;232;6
Pixel 4a (5G); Google;469;1
HTC Evo Design 4G; HTC;491;1
ZTE Blade G2; ZTE;243;9
Moto E (2nd generation); Motorola Mobility;358;4
HTC Evo 3D; HTC;248;4
HTC Rezound; HTC;209;7
LG K22; LG Electronics;315;9
Samsung Galaxy S6/Edge; Samsung Electronics;274;8
OnePlus 8 Pro; OnePlus;390;6
Samsung Galaxy Xcover 3; Samsung Electronics;473;4
ZTE Blade L2; ZTE;244;6
Xiaomi Black Shark 2 Pro; Xiaomi;346;9
Samsung Galaxy Xcover 3; Samsung Electronics;473;3
HTC Desire VC; HTC;360;1
ZTE Blade G/Lux; ZTE;400;4
LG K22; LG Electronics;315;2
HTC Sensation XE; HTC;481;2
HTC One V; HTC;240;4
OnePlus 8; OnePlus;283;9
Samsung Galaxy A5 Duos; Samsung Electronics;200;1
Samsung Galaxy Note 5; Samsung Electronics;254;6
Moto G (2nd generation); Motorola Mobility;206;2
Xiaomi Black Shark 2 Pro; Xiaomi;346;7
LG Q92 5G; LG Electronics;216;2
HTC Evo 4G LTE; HTC;477;4
LG Velvet; LG Electronics;496;7
ZTE Blade C V807; ZTE;229;9
HTC Evo 4G LTE; HTC;477;2
LG K42/K71; LG Electronics;416;3
ZTE Director; ZTE;432;7
Pixel 5; Google;408;9
HTC Rezound; HTC;209;6
LG K31; LG Electronics;270;8
OnePlus 7T; OnePlus;341;6
Samsung Galaxy Xcover 3; Samsung Electronics;473;4
ZTE Blade V; ZTE;360;4
Xiaomi Mi 10/Pro; Xiaomi;366;8
Samsung Galaxy S6/Edge; Samsung Electronics;274;3
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;2
ZTE Blade Q/Maxi/Mini; ZTE;374;8
Moto X Play; Motorola Mobility;437;5
BlackBerry Key2; BlackBerry Mobile;247;9
LG Q92 5G; LG Electronics;216;5
HTC One S C2; HTC;462;9
Pixel 2/XL; Google;347;3
ZTE Blade C V807; ZTE;229;3
HTC Evo 3D; HTC;248;8
HTC One X/XL; HTC;352;5
Xiaomi Mi MIX 3 5G; Xiaomi;396;6
ZTE Blade L2; ZTE;244;5
HTC Evo 3D; HTC;248;5
Xiaomi Mi 10/Pro; Xiaomi;366;8
Samsung Galaxy Note Edge; Samsung Electronics;264;3
HTC Evo Design 4G; HTC;491;4
HTC Salsa; HTC;257;8
Samsung Galaxy S6 Edge+; Samsung Electronics;434;6
Pixel 2/XL; Google;347;9
Xiaomi Black Shark 2; Xiaomi;258;2
Pixel 5; Google;408;6
LG Q61; LG Electronics;326;1
Samsung Galaxy Note Edge; Samsung Electronics;264;9
Moto X Style; Motorola Mobility;232;2
Moto X (2nd generation); Motorola Mobility;286;6
Xiaomi Mi 9 Lite; Xiaomi;417;9
OnePlus Nord N10 5G; OnePlus;414;4
OnePlus 7T; OnePlus;341;8
Moto X Style; Motorola Mobility;232;5
Xiaomi Mi A3; Xiaomi;253;4
Xiaomi Mi MIX 3 5G; Xiaomi;396;5
LG K42/K71; LG Electronics;416;1
Samsung Galaxy Note 5; Samsung Electronics;254;8
Xiaomi Black Shark 2 Pro; Xiaomi;346;7
ZTE Blade C V807; ZTE;229;7
LG Stylo 6; LG Electronics;397;7
Xiaomi Black Shark 2 Pro; Xiaomi;346;6
HTC Desire VC; HTC;360;2
HTC Sensation XE; HTC;481;8
Moto X Play; Motorola Mobility;437;5
HTC Desire VC; HTC;360;4
Xiaomi Mi 9/SE; Xiaomi;471;9
ZTE Blade G/Lux; ZTE;400;9
HTC Evo 4G LTE; HTC;477;6
Xiaomi Mi A3; Xiaomi;253;9
Moto E (2nd generation); Motorola Mobility;358;8
Samsung Galaxy A5; Samsung Electronics;428;2
Samsung Galaxy Xcover 3; Samsung Electronics;473;3
HTC One V; HTC;240;6
OnePlus 7T; OnePlus;341;5
ZTE Blade L2; ZTE;244;9
OnePlus 8; OnePlus;283;7
Xiaomi Mi 9T; Xiaomi;388;6
Moto G (3rd generation); Motorola Mobility;206;5
Moto G4; Motorola Mobility;339;5
OnePlus 9; OnePlus;386;6
HTC One X/XL; HTC;352;5
HTC Evo Design 4G; HTC;491;4
Xiaomi Mi 9T; Xiaomi;388;7
OnePlus 9; OnePlus;386;6
Samsung Galaxy A7/Duos; Samsung Electronics;426;9
Oppo Find; Oppo;334;6
HTC Droid Incredible 4G LTE; HTC;290;9
BlackBerry KeyOne; BlackBerry Mobile;346;6
HTC Evo 4G LTE; HTC;477;9
Moto X Style; Motorola Mobility;232;2
Xiaomi Mi Note 10/Pro; Xiaomi;234;8
HTC Rhyme; HTC;201;5
Moto X Style; Motorola Mobility;232;5
Xiaomi Mi 10/Pro; Xiaomi;366;1
Moto X Play; Motorola Mobility;437;1
Xiaomi Mi Note 10/Pro; Xiaomi;234;1
Samsung Galaxy S7/Edge; Samsung Electronics;373;4
Moto E (1st generation); Motorola Mobility;353;5
Pixel 4a (5G); Google;469;4
HTC Evo Design 4G; HTC;491;6
Moto X Style; Motorola Mobility;232;9
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;6
HTC One X/XL; HTC;352;4
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;7
LG K31; LG Electronics;270;9
Xiaomi Mi MIX 3 5G; Xiaomi;396;6
HTC Amaze 4G; HTC;227;1
OnePlus 9; OnePlus;386;7
Xiaomi Mi 9T; Xiaomi;388;6
Xiaomi Mi 9T; Xiaomi;388;1
